File	F3-4.dat

t(sec)	z(m)
156.5	2.403058104
156.75	2.416411825
157	2.432110092
157.25	2.446992864
157.5	2.451681957
157.75	2.428950051
158	2.39204893
158.25	2.35127421
158.5	2.32069317
158.75	2.308868502
159	2.331600408
159.25	2.401529052
159.5	2.508256881
159.75	2.66911315
160	2.82293578
160.25	2.982262997
160.5	3.1
160.75	3.166666667
161	3.192558614
161.25	3.169826707
161.5	3.119571865
161.75	3.027013252
162	2.906116208
162.25	2.78216106
162.5	2.670642202
162.75	2.584301733
163	2.53567788
163.25	2.521610601
163.5	2.5490316
163.75	2.591437309
164	2.647910296
164.25	2.696534149
164.5	2.738939857
164.75	2.746788991
165	2.717737003
165.25	2.647910296
165.5	2.54587156
165.75	2.427420999
166	2.30733945
166.25	2.202140673
166.5	2.159734964
166.75	2.155045872
167	2.203669725
167.25	2.290825688
167.5	2.393679918
167.75	2.518450561
168	2.641590214
168.25	2.779001019
168.5	2.913965341
168.75	3.070948012
169	3.191029562
169.25	3.278899083
169.5	3.329153925
169.75	3.320489297
170	3.283588175
170.25	3.194087666
170.5	3.090519878
170.75	2.94617737
171	2.800203874
171.25	2.693476045
171.5	2.58980632
171.75	2.513761468
172	2.450152905
172.25	2.407747197
172.5	2.367787971
172.75	2.337920489
173	2.322222222
173.25	2.29235474
173.5	2.25861366
173.75	2.229663609
174	2.214678899
174.25	2.206829766
174.5	2.229663609
174.75	2.260244648
175	2.328542304
175.25	2.422629969
175.5	2.556880734
175.75	2.707543323
176	2.847298675
176.25	2.968909276
176.5	3.059938838
176.75	3.103873598
177	3.129765545
177.25	3.111722732
177.5	3.066258919
177.75	3.004994903
178	2.933537207
178.25	2.844138634
178.5	2.759327217
178.75	2.681651376
179	2.605504587
179.25	2.529459735
179.5	2.468195719
179.75	2.396738022
180	2.346585117
180.25	2.313557594
180.5	2.32069317
180.75	2.360652396
181	2.459531091
181.25	2.570234455
181.5	2.69969419
181.75	2.801732926
182	2.891233435
182.25	2.924974516
182.5	2.943017329
182.75	2.910805301
183	2.862181448
183.25	2.775840979
183.5	2.681651376
183.75	2.565545362
184	2.466666667
184.25	2.410907238
184.5	2.360652396
184.75	2.328542304
185	2.339449541
185.25	2.363812436
185.5	2.398369011
185.75	2.466666667
186	2.567074414
186.25	2.681651376
186.5	2.803261978
186.75	2.905300714
187	2.994801223
187.25	3.067787971
187.5	3.11019368
187.75	3.116411825
188	3.084301733
188.25	3.014373089
188.5	2.900611621
188.75	2.763302752
189	2.618858308
189.25	2.488583078
189.5	2.386544343
189.75	2.304179409
190	2.231192661
190.25	2.161365953
190.5	2.103261978
190.75	2.045973496
191	2.00285423
191.25	1.98470948
191.5	2.021610601
191.75	2.07420999
192	2.200611621
192.25	2.348114169
192.5	2.547502548
192.75	2.742099898
193	2.923343527
193.25	3.069317023
193.5	3.176044852
193.75	3.230275229
194	3.2490316
194.25	3.218450561
194.5	3.142303772
194.75	3.053618756
195	2.94138634
195.25	2.810397554
195.5	2.684811417
195.75	2.570234455
196	2.462691131
196.25	2.354434251
196.5	2.282976555
196.75	2.223343527
197	2.174719674
197.25	2.140163099
197.5	2.13853211
197.75	2.170744139
198	2.223343527
198.25	2.287665647
198.5	2.366972477
198.75	2.439959225
199	2.516819572
199.25	2.584301733
199.5	2.657288481
199.75	2.728746177
200	2.786034659
200.25	2.834658512
200.5	2.876248726
200.75	2.915494393
201	2.950866463
201.25	2.994801223
201.5	3.023853211
201.75	3.038735984
202	3.059938838
202.25	3.046585117
202.5	3.011314985
202.75	2.952395515
203	2.86687054
203.25	2.763302752
203.5	2.654230377
203.75	2.552191641
204	2.4745158
204.25	2.41559633
204.5	2.386544343
204.75	2.377166157
205	2.378695209
205.25	2.377166157
205.5	2.374006116
205.75	2.388175331
206	2.391335372
206.25	2.416411825
206.5	2.443832824
206.75	2.459531091
207	2.489398573
207.25	2.521610601
207.5	2.550560652
207.75	2.558409786
208	2.563914373
208.25	2.581243629
208.5	2.592966361
208.75	2.617329256
209	2.664424057
209.25	2.746788991
209.5	2.850356779
209.75	2.968909276
210	3.079510703
210.25	3.178389399
210.5	3.233333333
210.75	3.25922528
211	3.223139653
211.25	3.148623853
211.5	3.025382263
211.75	2.848827727
212	2.65891947
212.25	2.462691131
212.5	2.294801223
212.75	2.171559633
213	2.09459735
213.25	2.065545362
213.5	2.080530071
213.75	2.112640163
214	2.148827727
214.25	2.21783894
214.5	2.308868502
214.75	2.374006116
215	2.456472987
215.25	2.513761468
215.5	2.5490316
215.75	2.622018349
216	2.676962283
216.25	2.760142712
216.5	2.845667686
216.75	2.923343527
217	3.014373089
217.25	3.043425076
217.5	3.053618756
217.75	3.03088685
218	2.982262997
218.25	2.917125382
218.5	2.862181448
218.75	2.815086646
219	2.779001019
219.25	2.735066259
219.5	2.70285423
219.75	2.670642202
220	2.63853211
220.25	2.602446483
220.5	2.552191641
220.75	2.511314985
221	2.471355759
221.25	2.438328236
221.5	2.432110092
221.75	2.422629969
222	2.454841998
222.25	2.489398573
222.5	2.523139653
222.75	2.553720693
223	2.587461774
223.25	2.591437309
223.5	2.568603466
223.75	2.524668705
224	2.495616718
224.25	2.459531091
224.5	2.439959225
224.75	2.469724771
225	2.512945973
225.25	2.611824669
225.5	2.738939857
225.75	2.86687054
226	3.004994903
226.25	3.108562691
226.5	3.152497452
226.75	3.150152905
227	3.124260958
227.25	3.038735984
227.5	2.931192661
227.75	2.82293578
228	2.695005097
228.25	2.602446483
228.5	2.516819572
228.75	2.436799185
229	2.377166157
229.25	2.322222222
229.5	2.290825688
229.75	2.2617737
230	2.243730887
230.25	2.260244648
230.5	2.308868502
230.75	2.360652396
231	2.433639144
231.25	2.494087666
231.5	2.556880734
231.75	2.618858308
232	2.680122324
232.25	2.745259939
232.5	2.827624873
232.75	2.89745158
233	2.97675841
233.25	3.029357798
233.5	3.053618756
233.75	3.06146789
234	3.045056065
234.25	3.002650357
234.5	2.938328236
234.75	2.870030581
235	2.786034659
235.25	2.696534149
235.5	2.612640163
235.75	2.532517839
